,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0,2.25,0.27,0.02
CE4,0.41,1.56,0.94,2.07
CE5,0,0,0.25,0
CE7,0,0,0.11,0
CE8,0,0.18,0,0
CE9,0.15,0.01,0.25,0
CE10,0.03,0.09,0.07,0.06
CE11,5.55,1.37,0.22,0.41
CE12,0,0.09,0.02,0
CE14,0.26,0,0.09,0.08
CE15,0,0.05,0.09,0
GH1,0,0.15,0.38,0
GH2,0.15,1.26,1.45,0.12
GH3,2.25,2.66,2.1,0.18
GH4,0.15,0.36,0.6,0
GH5,0,0.68,0.33,0
GH6,1.05,0.29,0.65,0.74
GH9,0,0.12,0,0
GH10,0,0.05,0,0
GH11,0,0.05,0,0
GH13,1.23,23.02,5.58,5.36
GH15,0,0.29,2.59,0.86
GH16,0,0.05,0.02,0.08
GH17,12.45,0,0.07,0
GH18,0.29,0.06,2.97,13.99
GH19,0,0.09,0,0
GH20,0.15,0.07,0.18,0
GH23,7.66,6.86,3.42,3.03
GH24,0,0,0.04,0
GH26,0,0.01,0.16,0.9
GH27,0,0,0.2,0
GH28,0,0.12,0.11,0
GH29,0,0.5,0.6,0
GH30,0,0.14,0,0
GH31,0,0.32,0.76,0.02
GH32,0,0.09,0,0
GH33,0,0.05,0.16,0
GH35,0,0,0.02,0
GH36,0,0,0.2,0
GH37,0,1.11,0,0
GH38,0.03,0.15,0.85,0.1
GH39,0,0.21,0,0
GH42,0,0.15,0,0
GH43,0.56,1.32,0.11,0
GH47,0,0.01,0,0
GH51,0,0.35,0.45,0
GH53,0,0.05,0,0
GH55,0,0,0.11,0
GH57,8.36,0.15,3.95,0.61
GH62,0,0.05,0,0
GH63,0,0,0.11,0
GH65,0,0.12,1.07,0.47
GH67,0,0,0.02,0
GH68,0,0,0.22,0
GH73,0.64,1.07,0.22,0.18
GH74,0,0.07,0.09,0.04
GH76,0,0.02,0,0
GH77,0.15,1.96,0.58,1
GH78,0,0.67,0.22,0
GH84,0,0,0,0
GH88,0,0.13,0,0.16
GH92,0,0.89,0.22,0
GH94,0,2.7,2.03,6.61
GH95,0,0.12,0.07,0
GH97,0,0.62,0.67,0
GH102,2.57,0,0.13,0.25
GH103,0.15,2.97,0.22,0.22
GH105,0,0.07,0.13,0
GH106,0,0.08,0,0
GH108,0,0,0,0.04
GH109,0.15,0.45,0.49,0
GH115,0,0.02,0,0
GH117,0,0.01,0,0
GT1,0,0.18,0.29,0.49
GT2,16.86,6.83,14.49,12.36
GT3,0.03,0.1,0.33,1.86
GT4,1.78,10.15,23.05,15.36
GT5,0.79,0.97,2.52,2
GT8,0,0,0.02,0
GT9,4.62,2.64,0.2,0.96
GT11,0,0,0.04,0
GT19,3.65,1.37,0.56,0.43
GT20,0.03,1.31,1.5,0.9
GT26,0,0.17,1.23,0.65
GT28,1.78,1.35,2.32,1.72
GT30,1.43,1.04,0.02,0.27
GT32,1.64,0,0,0
GT35,6.87,3.7,5.85,10.64
GT51,8.21,6.42,5.07,6.36
GT66,0.32,0.03,2.43,1.12
GT81,0.03,0.37,0.58,0.12
GT83,0.44,0.13,0,0.04
GT84,0,2.82,1.5,6.98
PL9,0,0,0,0.06
PL10,0,0.05,0,0
PL11,0,0,0.02,0
PL12,0,0.04,0,0
LDA1xp,0,0,0.02,0
LDA2xp,0,0,0,0.02
LDA6xp,0,0.01,0,0
LDA7xp,0,0.15,0,0
LO1xp,0,0,0,0
LO2xp,7.16,1.19,0.83,0.1
LO3xp,0,0.51,0.22,0
ESTxp,0,0.04,0,0
