-,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Acidobacteriales,1.65390924,1.454046639,1.003551027,0.512820513,2.103652706,1.385462137,0.90051458,3.019957983,2.083333333,1.343247781,2.235584335,4.418472064,4.523848549,4.555839269,4.370700121,1.304915181,0.810769466,2.636234961,1.675702316,2.328080229,7.006020799,3.653966271,7.033223237,5.399942247,1.765145849,2.00508331
Bryobacter,0.451066156,0.480109739,0.231588698,0.287179487,0.095620578,0.436515468,0.357347055,1.260504202,1.102941176,0.671623891,1.248843663,1.539338655,1.950499918,2.445907808,0.957776878,0.927939684,2.00397736,2.79547063,1.379990143,0.931232092,3.475643131,1.842598376,1.826306586,1.212821253,1.106955871,0.720135555
DA023,8.1738655,7.448559671,8.182800679,6.912820513,5.545993498,6.984247485,4.745568897,6.013655462,5.242374728,5.564883665,6.3675609,6.228620296,4.523848549,4.408009676,4.006475111,5.089169204,0.734281781,1.857749469,1.807129949,3.133954155,2.599890531,2.857589007,1.204585195,1.053999422,4.233358265,3.459474725
DA052,0.314379442,0.301783265,0.169831712,0.061538462,0.114744693,0.778136269,1.129216695,2.744222689,2.192265795,1.223314944,3.037311132,4.518244014,4.294377971,6.276038167,5.072170511,0.985935914,0.137677834,0.406935598,0.114999179,0.017908309,8.237547893,4.091193004,6.197785118,4.244874386,0.867614061,1.15786501
RB41,4.729360306,4.074074074,6.391848078,3.569230769,2.42876267,3.87170241,6.332189823,8.574054622,7.679738562,2.974334373,4.702436016,5.116875713,5.359777086,3.14473861,2.751922299,3.465274757,1.284993116,2.246992215,1.872843765,3.062320917,1.039956212,1.483447845,0.155430348,0.115506786,0.867614061,0.324767015
Holophagae,2.022963368,1.879286694,1.219700479,2.584615385,2.467010901,2.429303473,2.115494568,1.943277311,2.696078431,2.254737347,2.251002158,3.435005701,1.802983118,1.69332079,3.358963982,2.580832246,1.05553006,2.03467799,0.969278791,1.558022923,1.340996169,2.232979388,0.097143967,0.649725671,0.568436799,0.804857385
Other Acidobacteria,5.494805905,5.541838134,5.172147599,2.830769231,4.781028877,6.661605618,4.859919954,8.495273109,7.666122004,5.13312545,5.44249152,5.815279361,6.097361088,4.636473592,5.045190881,4.523705959,1.866299526,3.715498938,2.677838015,2.811604585,3.585112206,4.059962523,2.273168836,1.992492059,6.148092745,3.120587405
Acidimicrobidae,1.913613997,2.235939643,2.300447738,2.851282051,2.505259132,1.518314671,1.615208691,1.037289916,1.388888889,1.559126889,1.418439716,1.083238312,1.622684806,1.27671012,1.254552813,3.407278527,1.437968487,1.026185421,1.52784623,1.719197708,0.766283525,2.092442224,1.34058675,1.429396477,2.423335826,2.301609715
Actinobacteridae,4.702022963,5.185185185,5.820595955,11.56923077,7.802639128,2.46726134,5.660377358,1.234243697,1.198257081,3.09426721,2.51310515,1.168757127,1.180134404,1.532052144,3.777148253,3.798753081,5.889551782,5.201698514,9.413504189,9.437679083,1.09469075,5.231105559,6.10064115,5.919722784,4.54749439,5.111550409
Rubrobacteridae,3.389830508,3.717421125,6.422726571,6.584615385,4.532415376,4.042512811,3.173241852,1.851365546,2.696078431,3.573998561,2.466851681,2.366020525,1.884936896,1.975540922,2.009982463,5.103668262,2.019274897,2.88393489,4.797108592,3.742836676,1.231527094,4.653341661,2.078880901,2.454519203,2.572924458,3.30415137
Other Actinobacteria,2.036632039,2.427983539,3.412073491,4.717948718,3.939567795,1.651167204,1.000571755,0.695903361,0.871459695,0.623650756,0.878815911,1.211516534,0.639239469,0.470366886,0.890327803,0.550964187,0,0.070771408,0.016428454,0.196991404,0.355774494,0.577763898,0,0,0.209424084,0.183563965
Anaerolineales,4.100601422,3.264746228,4.153157326,4.820512821,6.024096386,1.916872272,2.930245855,1.917016807,1.307189542,1.511153754,3.006475486,1.382554162,0.786756269,0.739147964,0.876837987,0.753950993,0.428331039,0.442321302,0.262855265,0.411891117,0.273672687,0.484072455,0.097143967,0.173260179,1.062079282,0.50833098
OtherChloroflexi,7.189721159,7.270233196,8.306314652,9.866666667,8.969210174,8.80622509,4.05946255,4.083508403,4.316448802,5.396977692,5.457909343,4.803306727,2.753646943,2.230882946,3.844597329,4.625199362,2.661771455,2.353149328,3.088549368,3.330945559,0.848385331,2.29544035,0.699436565,1.126191164,3.021690352,1.454391415
Phycisphaerae,0.437397485,0.411522634,0.833719314,0.471794872,0.191241155,0.835073069,1.15780446,1.391806723,1.484204793,1.319261214,1.557200123,1.068985177,1.802983118,1.182636742,1.254552813,1.710888792,1.284993116,2.353149328,3.055692459,1.880372493,1.286261631,1.764522174,1.185156402,1.068437771,0.852655198,1.4120305
Planctomycetales,2.186987425,2.510288066,2.763625135,1.846153846,1.453432779,2.600113874,3.201829617,3.834033613,4.616013072,3.765891101,3.931544866,3.534777651,4.605802327,5.644402634,2.873330635,4.451210671,3.931467034,4.016277424,4.090685067,1.468481375,6.458675424,4.793878826,4.779483194,2.801039561,5.430067315,3.9536854
Other Planctomycetes,0.314379442,0.329218107,0.370541918,0.738461538,0.305985848,0.816094136,0.500285878,0.420168067,0.381263617,0.671623891,0.678384212,0.399087799,0.475331913,0.671952695,0.350735195,0.666956648,0.520116261,0.406935598,0.377854444,0.232808023,0.383141762,0.827607745,0.233145522,0.33208201,0.673148841,0.635413725
Cyanobacteria,0.027337343,0.150891632,0.077196233,0.102564103,0.038248231,0.227747201,0.028587764,0.183823529,0.245098039,0.167905973,0.215849522,0.456100342,0.26225209,0.295659186,0.107918522,0.579962302,1.086125134,1.114649682,2.086413668,0.680515759,0.602079912,0.374765771,1.126870021,0.519780537,0.089753179,0.22592488
Gemmatimonadetes,3.471842537,2.949245542,2.377643971,3.794871795,2.04628036,5.503890681,3.301886792,3.44012605,3.322440087,3.09426721,2.728954672,2.608323831,2.999508277,2.284639161,3.129637124,4.291721038,2.049869971,3.538570418,5.799244291,4.835243553,0.684181719,1.920674578,0.116572761,0.447588796,2.303664921,1.52499294
