name,radius,fillKey,latitude,longitude,mbs
2015219000,10,Thermal_springs,44.72,-110.7,17.6
2015219002,10,Thermal_springs,44.54,-110.8,45.3
2016842003,10,Thermal_springs,44.53,-110.85,36.3
2016842004,10,Thermal_springs,44.76,-110.43,38.7
2016842008,10,Thermal_springs,44.97,-110.71,41.5
2032320003,10,Soil,36.77,-115.95,123.2
2032320004,10,Soil,38.88,-76.55,189.3
2032320005,10,Soil,35.9,-84.4,157.7
2032320006,10,Soil,35.94,-84.4,130.9
2040502001,10,Soil,36,-80.93,143.8
2053563014,10,Thermal_springs,40.66,-119.38,48.2
3300000354,10,Non_marine_Saline_and_Alkaline,36.82,-121.74,90.6
2051774008,10,Non_marine_Saline_and_Alkaline,41.45,-112.67,99.4
2077657018,10,Marine,34.21,-119.5,202.2
2088090017,10,Marine,28.67,-88.44,25.3
2100351011,10,Marine,74.07,-145.55,386.2
2124908007,10,Soil,45.68,-89.63,386.8
2140918001,10,Thermal_springs,44.73,-110.71,51.5
2140918027,10,Non_marine_Saline_and_Alkaline,-68.54,78.18,190.6
2156126005,10,Marine,25.5,-67.3,131.5
2162886008,10,Soil,18.37,-65.72,154.1
2162886012,10,Soil,42.41,-85.4,178
2162886013,10,Soil,42.79,-84.39,186.2
2189573023,10,Freshwater,41.32,-105.59,268.4
2263328000,10,Freshwater,49.68,-124.03,436.9
3300000436,10,Soil,38.71,-109.69,25423.8
3300000167,10,Marine,48.35,-123.29,233.6
3300000219,10,Marine,49.28,-134.67,168.6
3300000222,10,Marine,48.97,-130.67,174.5
3300000226,10,Marine,48.6,-123.5,237.9
3300000239,10,Marine,48.57,-123.52,214.7
3300000250,10,Marine,50,-145,138.3
3300000257,10,Marine,48.35,-123.3,194.5
3300000265,10,Marine,48.65,-126.67,161.7
3300000323,10,Marine,49.57,-138.67,131.8
3300000343,10,Thermal_springs,44.97,-110.7,17.8
2016842001,10,Thermal_springs,44.72,-110.71,16.1
3300000522,10,Soil,64.7,-157.75,1158
3300000571,10,Freshwater,43.29,-73.6,619
3300000656,10,Soil,64.49,-157.75,8362.1
3300000756,10,Freshwater,41.77,-81.73,387.9
3300000965,10,Marine,-31.16,110.18,199.6
3300000967,10,Marine,14.52,-26,365.9
3300000971,10,Marine,15.91,-124.49,425.3
3300000974,10,Marine,-29.81,82.62,525.1
3300000975,10,Marine,-27.98,63.25,535.9
3300000981,10,Marine,-30.33,103.31,598.8
3300000994,10,Marine,-31.81,6.84,183.3
3300000995,10,Marine,-28.62,-11.8,252.5
3300000999,10,Marine,-25.49,-179.52,362.9
3300001004,10,Marine,40.83,2.45,500.4
3300001006,10,Marine,-32.81,12.77,579.2
3300001010,10,Marine,-38.64,150.41,611.3
3300001013,10,Marine,-9.12,-30.19,628.9
3300001016,10,Marine,-28.41,179.14,709.7
3300001031,10,Soil,40.82,-104.77,1044
3300001034,10,Soil,39.05,-99.1,1515.3
3300001050,10,Soil,39.53,-96.58,436.7
3300001051,10,Marine,12,-108.06,433.5
3300001058,10,Marine,-33.55,39.89,562
3300001060,10,Marine,21.51,-23.45,640.4
3300001063,10,Marine,-26.91,-21.43,708
