,CE1,CE4,CE5,CE7,CE8,CE9,CE10,CE11,CE12,CE14,CE15,GH1,GH2,GH3,GH4,GH5,GH6,GH9,GH10,GH11,GH13,GH15,GH16,GH17,GH18,GH19,GH20,GH23,GH24,GH26,GH27,GH28,GH29,GH30,GH31,GH32,GH33,GH35,GH36,GH37,GH38,GH39,GH42,GH43,GH47,GH51,GH53,GH55,GH57,GH59,GH62,GH63,GH65,GH66,GH67,GH68,GH71,GH73,GH74,GH76,GH77,GH78,GH84,GH87,GH88,GH92,GH93,GH94,GH95,GH97,GH102,GH103,GH105,GH106,GH108,GH109,GH113,GH115,GH116,GH117,GT1,GT2,GT3,GT4,GT8,GT9,GT11,GT19,GT20,GT21,GT26,GT27,GT28,GT30,GT32,GT35,GT41,GT5,GT51,GT55,GT66,GT81,GT82,GT83,GT84,PL1,PL8,PL9,PL10,PL11,PL12,LDA1xp,LDA2xp,LDA6xp,LDA7xp,LO1xp,LO2xp,LO3xp,ESTxp
CG13u_454,0.00,1.17,0.00,0.00,0.00,0.11,0.07,4.40,0.00,0.90,0.00,0.00,0.11,2.80,0.11,0.00,0.81,0.00,0.05,0.00,1.08,0.00,0.09,9.63,0.47,0.00,0.11,7.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.43,0.00,0.00,0.00,0.05,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.07,0.00,0.11,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.11,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,14.71,0.02,3.14,0.00,4.56,0.00,2.98,0.02,0.00,0.00,0.00,1.80,1.85,1.58,5.57,0.14,1.74,7.44,0.00,0.38,0.18,0.29,0.34,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.43,0.79,0.00
PWCG7u_454,1.91,1.67,0.00,0.00,0.17,0.05,0.33,1.24,0.07,0.00,0.04,0.49,1.41,2.45,0.34,1.86,0.26,0.16,0.04,0.04,20.24,0.34,0.06,0.00,0.36,0.22,0.19,6.34,0.00,0.05,0.04,0.13,0.56,0.12,0.30,0.09,0.04,0.00,0.02,0.95,0.17,0.20,0.17,1.26,0.06,0.29,0.04,0.00,0.19,0.00,0.04,0.00,0.12,0.00,0.00,0.00,0.02,1.42,0.07,0.02,1.98,0.80,0.00,0.00,0.12,0.86,0.05,2.36,0.12,0.54,0.00,2.62,0.06,0.12,0.01,0.37,0.00,0.04,0.01,0.01,0.56,7.05,0.12,11.93,0.00,2.26,0.00,1.21,1.15,0.00,0.32,0.00,1.34,0.87,0.00,3.47,0.00,0.84,6.02,0.00,0.06,0.40,0.00,0.25,2.40,0.02,0.00,0.00,0.04,0.00,0.03,0.01,0.00,0.01,0.40,0.01,1.15,1.31,0.03
CG19u_454,0.35,1.49,0.16,0.07,0.00,0.32,0.10,0.26,0.06,0.13,0.07,0.45,1.59,2.02,0.77,0.28,0.44,0.04,0.03,0.00,4.54,2.42,0.26,0.04,2.42,0.00,0.31,3.37,0.07,0.26,0.13,0.07,0.47,0.00,0.67,0.03,0.18,0.01,0.26,0.00,0.95,0.01,0.01,0.10,0.03,0.32,0.00,0.09,3.39,0.00,0.00,0.07,1.11,0.06,0.07,0.15,0.00,0.22,0.07,0.00,0.41,0.51,0.00,0.00,0.00,0.15,0.01,1.71,0.20,0.44,0.18,0.15,0.09,0.03,0.00,0.39,0.07,0.00,0.12,0.00,0.25,15.71,0.25,23.72,0.01,0.28,0.07,0.37,1.61,0.07,1.30,0.15,2.42,0.01,0.01,4.26,0.55,1.84,5.81,0.03,2.72,0.42,0.00,0.00,1.18,0.00,0.00,0.01,0.00,0.01,0.01,0.12,0.00,0.00,0.00,0.00,0.77,0.70,0.00
CG8u_454,0.06,2.61,0.00,0.00,0.00,0.25,0.35,0.42,0.00,0.14,0.00,0.07,0.11,0.14,0.07,0.31,0.59,0.00,0.00,0.00,5.41,0.76,0.45,0.00,10.74,0.00,0.00,3.82,0.00,0.99,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.07,1.48,0.01,0.00,0.03,0.34,0.00,0.00,0.00,0.00,0.28,0.06,0.00,1.03,0.00,0.00,0.04,0.11,0.00,0.06,5.37,0.00,0.00,0.49,0.24,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.41,13.49,1.55,16.02,0.07,1.70,0.00,0.69,1.17,0.00,0.88,0.00,2.02,0.45,0.00,8.12,0.01,1.72,6.16,0.00,1.38,0.08,0.01,0.48,5.65,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.51,0.00
