,CG13,CG7,CG19,CG8u,cow rumen,Wallaby,Termite
GH_85,0,0,0,0,0,0.002170068,0
GH_88,0,0.000944421,0,0.001013007,0.000428123,0.007595239,0.008486173
GH_89,0,0,0,0,0.000770622,0.003255102,0.001060772
GH_91,0,0,0,0,0,0.001085034,0.001060772
GH_92,0,0.008499788,0.001420582,0,0.005137481,0.029295921,0.002121543
GH_93,0,0.00047221,0,0,0,0,0
GH_94,0,0.002361052,0.003314692,0,0.007021224,0.053166672,0.167601914
GH_95,0,0.001416631,0.001420582,0,0.002226242,0.010850341,0.027580062
GH_96,0,0,0,0,4.28E-05,0,0
GH_97,0,0.006610946,0.002367637,0,0.005180293,0.032551024,0
GH_98,0,0,0,0,0.000256874,0.002170068,0.001060772
GH_99,0,0.00047221,0,0,0,0.001085034,0
GH_102,0.009323043,0,0,0.003545525,0,0,0
GH_103,0.000517947,0.025499363,0.000947055,0.001519511,0,0.001085034,0
GH_104,0.000517947,0.00047221,0.000473527,0.004558532,8.56E-05,0,0.002121543
GH_105,0,0.000944421,0,0,0.002825615,0.01844558,0.010607716
GH_106,0,0.000944421,0.000473527,0,0.001070309,0.004340136,0.002121543
GH_108,0,0,0,0,8.56E-05,0.001085034,0
GH_109,0.000517947,0.002833263,0.002367637,0,0.001798118,0.001085034,0.003182315
GH_110,0,0,0,0,8.56E-05,0,0
GH_112,0,0,0,0,0.000171249,0.001085034,0.005303858
GH_113,0,0,0.000473527,0,4.28E-05,0.002170068,0.004243086
GH_115,0,0.00047221,0,0,0.00145562,0.014105444,0.014850802
GH_116,0,0,0.000947055,0,0.000428123,0,0.009546944
GH_117,0,0.000944421,0,0,8.56E-05,0,0
GH_119,0,0,0,0,4.28E-05,0.001085034,0
GH_120,0,0,0,0,0.002697178,0.003255102,0.008486173
GH_123,0,0,0,0,0.000128437,0.001085034,0
GH_124,0,0,0,0,8.56E-05,0.001085034,0
GH_125,0,0.00047221,0.000473527,0,0.000899059,0.002170068,0
GH_127,0,0.003305473,0.002367637,0,0.002354679,0.013020409,0.00636463
GH_130,0,0.003305473,0.005682329,0.007597553,0.004452484,0.010850341,0.020154661
GT_1,0,0.007083156,0.000473527,0.004052028,0.001798118,0.005425171,0
GT_2,0.003625628,0.014166313,0.053982129,0.017727623,0.005051856,0.024955785,0.014850802
GT_3,0,0.001416631,0.001420582,0.002026014,0.001840931,0.01844558,0
GT_4,0.003107681,0.016527365,0.095652544,0.034948742,0.00055656,0.002170068,0.002121543
GT_5,0.006215362,0.007555367,0.011364659,0.007091049,0.007278098,0.020615648,0.02651929
GT_8,0,0,0,0,0.000428123,0.005425171,0
