"","25m_only","25m_75m","25m_110m","25m_500m","75m_only","75m_110m","75m_500m","110m_only","110m_500m","500m_only","25m_75m_110m","75m_110m_500m","25m_110m_500m","25m_75m_500m","25m_75m_110m_500m"
"Transport-Pathways",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Energy-Metabolism",0,0,0,0,2,2,0,9,5,15,0,5,0,1,1
"Detoxification",0,0,0,0,0,0,1,2,0,1,0,1,0,1,4
"Degradation",3,2,0,6,6,10,5,47,29,48,10,27,5,7,62
"Metabolic-Clusters",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Biosynthesis",7,4,1,5,2,10,14,25,19,56,23,22,8,7,70
"Activation-Inactivation-Interconversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
