"","25m_only","25m_75m","25m_110m","25m_500m","75m_only","75m_110m","75m_500m","110m_only","110m_500m","500m_only","25m_75m_110m","75m_110m_500m","25m_110m_500m","25m_75m_500m","25m_75m_110m_500m"
"Transport-Pathways",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Energy-Metabolism",4,6,1,2,0,0,0,0,0,1,2,0,1,7,24
"Detoxification",1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Degradation",26,23,1,9,2,0,0,2,0,15,1,0,2,45,77
"Metabolic-Clusters",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Biosynthesis",20,14,5,7,3,3,1,4,1,13,14,1,0,23,124
"Activation-Inactivation-Interconversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
